ID,BillingType,Status,Category,DateAdd,LastOnline,MrrTotal,Quantity,ServicesStart Date,ServicesEnd Date,ServicesStatus,ServiceName,Price,Locations
159,recurring,disabled,person,2019-04-02,2022-06-18T11:11:06,0,1,2019-03-11,2020-01-02,hidden,FTTH 15,26000,PYAY-CITY-FTTH
162,recurring,active,person,2019-04-03,2022-11-11T00:46:37,45000,1,2019-03-12,,hidden,FTTH 15,26000,APN - San Chaung Garden
165,recurring,active,person,2019-04-05,2022-11-11T00:43:27,31500,1,2019-03-12,2019-03-17,hidden,FTTH 60,75000,MIH - South Oakkala
166,recurring,blocked,person,2019-04-05,2022-11-11T00:49:35,26000,1,2019-03-12,2020-05-20,hidden,FTTH 15,26000,PYAY-CITY-FTTH
167,recurring,active,person,2019-04-05,2022-11-11T00:49:34,42000,1,2021-07-01,2021-07-31,hidden,FTTH 15,26000,PYAY-CITY-FTTH
168,recurring,disabled,person,2019-04-05,2019-12-03T20:23:32,0,1,2021-08-01,,active,FTTH 15,26000,PYAY-CITY-FTTH
169,recurring,active,person,2019-04-04,2022-11-11T00:49:42,26000,1,2019-03-12,2019-04-10,hidden,FTTH 15,26000,PYAY-CITY-FTTH
175,recurring,active,person,2019-04-10,2022-11-10T18:40:52,0,1,2019-03-18,2020-01-01,hidden,FTTH 60,75000,APN - Pearl 
179,recurring,active,person,2019-04-18,2022-11-11T00:49:38,22285.7142,1,2019-03-19,,hidden,FTTH 15,26000,PYAY-CITY-FTTH
181,recurring,disabled,person,2019-04-18,2022-07-03T03:26:19,0,1,2019-03-21,2020-10-31,hidden,FTTH 15,26000,PYAY-CITY-FTTH
182,recurring,active,person,2019-04-18,2022-11-11T00:49:58,26000,1,2019-03-21,2020-06-21,hidden,FTTH 15,26000,PYAY-CITY-FTTH
188,recurring,active,person,2019-04-19,2022-11-11T00:49:47,26000,1,2021-07-01,2021-11-30,disabled,FTTH 15,26000,PYAY-CITY-FTTH
192,recurring,active,person,2019-04-20,2022-11-11T00:49:58,26000,1,2021-08-01,,active,FTTH 15,26000,PYAY-CITY-FTTH
194,recurring,active,person,2019-04-22,2022-11-11T00:49:35,19500,1,2019-03-19,2019-09-11,hidden,FTTH 15,26000,PYAY-CITY-FTTH
199,recurring,active,person,2019-04-25,2022-11-11T00:49:42,19500,1,2019-03-21,2020-03-03,hidden,FTTH 15,26000,PYAY-CITY-FTTH
200,recurring,active,person,2019-04-24,2022-11-11T00:43:26,26000,1,2021-08-01,,active,FTTH 15,26000,MIH - Time Square
201,recurring,active,person,2019-04-25,2022-11-11T00:49:40,26000,1,2021-07-01,2021-07-31,disabled,FTTH 60,75000,PYAY-CITY-FTTH
202,recurring,blocked,person,2019-04-25,2022-11-11T00:20:20,26000,1,2019-03-23,2020-09-21,hidden,FTTH 15,26000,PYAY-CITY-FTTH
204,recurring,active,person,2019-04-27,2022-11-11T00:49:41,19500,1,2019-03-26,2020-05-20,hidden,FTTH 15,26000,PYAY-CITY-FTTH
205,recurring,disabled,person,2019-04-27,2021-05-17T16:22:48,0,1,2021-08-01,2021-12-31,disabled,FTTH 15,26000,PYAY-CITY-FTTH
206,recurring,active,person,2019-04-29,2022-11-11T00:49:36,19500,1,2021-07-01,2022-04-10,disabled,FTTH 15,26000,PYAY-CITY-FTTH
207,recurring,active,person,2019-04-29,2022-11-11T00:49:33,26000,1,2021-07-01,,active,FTTH 15,26000,PYAY-CITY-FTTH
211,recurring,disabled,person,2019-04-29,2020-05-21T00:01:15,0,1,2019-03-28,2020-03-02,hidden,FTTH 15,26000,PYAY-CITY-FTTH
212,recurring,active,person,2019-04-30,2022-11-10T23:11:06,19500,1,2019-03-29,2020-08-20,hidden,FTTH 15,26000,PYAY-CITY-FTTH
213,recurring,disabled,person,2019-04-30,2022-05-11T18:24:44,0,1,2021-07-01,2021-12-31,hidden,FTTH 15,26000,PYAY-CITY-FTTH
215,recurring,disabled,person,2019-04-30,2020-07-17T18:39:55,0,1,2019-03-30,2020-03-31,hidden,FTTH 15,26000,PYAY-CITY-FTTH
217,recurring,blocked,person,2019-04-30,2022-08-18T16:22:08,0,1,2019-03-30,,hidden,FTTH 15,26000,PYAY-CITY-FTTH
218,recurring,disabled,person,2019-04-30,2022-07-01T00:00:08,0,1,2019-04-01,2020-03-31,hidden,FTTH 100,119000,APN - San Chaung Garden
222,recurring,active,person,2019-05-02,2022-11-11T00:49:41,26000,1,2021-08-01,,active,FTTH 15,26000,PYAY-CITY-FTTH
225,recurring,disabled,person,2019-05-03,2020-07-27T22:07:55,0,1,2019-03-30,2020-01-31,hidden,FTTH 15,26000,PYAY-CITY-FTTH
227,recurring,disabled,person,2019-05-04,2022-09-26T07:39:29,0,1,2021-07-01,,active,FTTH 15,26000,PYAY-CITY-FTTH
229,recurring,disabled,person,2019-05-06,2020-08-04T10:57:09,0,1,2019-04-05,2020-01-05,hidden,FTTH 15,26000,PYAY-CITY-FTTH
230,recurring,active,person,2019-05-06,2022-11-11T00:45:56,64285.7142,1,2019-04-04,2021-01-20,hidden,FTTH 15,26000,APN - Pearl 
231,recurring,disabled,person,2019-05-31,2019-10-24T11:35:13,0,1,2019-03-30,,hidden,FTTH 15,26000,PYAY-CITY-FTTH
233,recurring,active,person,2019-05-06,2022-11-11T00:49:48,26000,1,2019-03-29,2019-09-11,hidden,FTTH 15,26000,PYAY-CITY-FTTH
242,recurring,active,person,2019-05-09,2022-11-11T00:46:37,26000,1,2019-05-06,2019-06-03,hidden,FTTH 15,26000,APN - San Chaung Garden
247,recurring,active,person,2019-05-11,2022-11-11T00:46:37,0,1,2019-04-18,2020-03-10,hidden,FTTH 15,26000,APN - San Chaung Garden
249,recurring,active,person,2019-05-14,2022-11-11T00:49:36,22285.7142,1,2021-07-01,,active,FTTH 15,26000,PYAY-CITY-FTTH
250,recurring,disabled,person,2019-05-14,2021-12-13T13:48:37,0,1,2019-04-18,2020-01-16,hidden,FTTH 15,26000,APN - San Chaung Garden
251,recurring,active,person,2019-05-15,2022-11-11T00:49:52,26000,1,2019-04-18,2020-01-01,hidden,FTTH 15,26000,PYAY-CITY-FTTH
252,recurring,active,person,2019-05-15,2022-11-11T00:45:15,22285.7142,1,2019-04-19,2020-05-20,hidden,FTTH 15,26000,APN - Bayint Naung
259,recurring,blocked,company,2019-05-16,2022-11-10T15:56:45,109000,1,2019-04-20,,hidden,FTTH 15,26000,APN - Pearl 
260,recurring,blocked,person,2019-05-17,2021-09-01T20:08:31,0,1,2021-07-01,,active,FTTH 15,26000,PYAY-CITY-FTTH
261,recurring,disabled,person,2019-05-11,2020-04-01T11:12:26,0,1,2019-04-22,2020-01-05,hidden,FTTH 15,26000,PYAY-CITY-FTTH
263,recurring,active,person,2019-05-17,2022-11-11T00:49:52,26000,1,2019-04-23,2019-09-11,hidden,FTTH 15,26000,PYAY-CITY-FTTH
270,recurring,active,person,2019-05-20,2022-11-11T00:49:38,19500,1,2021-09-01,,active,FTTH 25,42000,PYAY-CITY-FTTH
273,recurring,disabled,company,2019-05-21,2020-04-01T13:11:56,0,1,2021-07-01,,active,FTTH 15,26000,APN - Diamond
275,recurring,disabled,person,2019-05-22,2022-02-11T15:11:32,0,1,2019-04-27,2020-09-11,hidden,FTTH 15,26000,APN - San Chaung Garden
278,recurring,active,person,2019-05-22,2022-11-11T00:49:41,26000,1,2019-04-29,2019-11-05,hidden,FTTH 15,26000,PYAY-CITY-FTTH
279,recurring,blocked,person,2019-05-22,2022-11-10T18:41:53,26000,1,2019-04-29,2020-05-20,hidden,FTTH 15,26000,PYAY-CITY-FTTH
280,recurring,disabled,person,2019-05-22,2020-02-12T12:36:56,0,1,2019-04-29,2020-02-14,hidden,FTTH 15,26000,PYAY-CITY-FTTH
281,recurring,disabled,person,2019-05-22,2020-09-01T10:13:15,0,1,2019-04-30,2020-05-20,hidden,FTTH 15,26000,PYAY-CITY-FTTH
284,recurring,disabled,person,2019-05-25,2020-10-17T09:21:41,0,1,2021-07-01,,active,FTTH 15,26000,PYAY-CITY-FTTH
285,recurring,disabled,person,2019-05-25,2020-11-09T21:24:52,0,1,2019-04-30,2020-07-21,hidden,FTTH 15,26000,PYAY-CITY-FTTH
292,recurring,disabled,person,2019-05-27,2020-11-23T01:03:49,0,1,2021-07-01,,hidden,FTTH 15,26000,PYAY-CITY-FTTH
297,recurring,disabled,person,2019-07-02,2020-07-01T10:52:21,0,1,2019-05-03,2020-08-20,hidden,FTTH 15,26000,PYAY-CITY-FTTH
302,recurring,blocked,person,2019-05-29,2022-11-09T12:09:04,26000,1,2021-08-01,,active,FTTH 15,26000,PYAY-CITY-FTTH
304,recurring,disabled,person,2019-05-30,2019-07-02T11:24:16,0,1,2019-05-06,2019-06-02,hidden,FTTH 15,26000,APN - Bayint Naung
312,recurring,blocked,person,2019-06-01,2022-11-11T00:49:38,26000,1,2021-07-01,,active,FTTH 15,26000,PYAY-CITY-FTTH
313,recurring,disabled,person,2019-06-03,2021-05-21T05:43:33,0,1,2019-05-07,2020-03-31,hidden,FTTH 15,26000,APN - San Chaung Garden
315,recurring,disabled,person,2019-06-03,2019-12-21T09:25:12,0,1,2019-05-09,2019-09-11,hidden,FTTH 15,26000,PYAY-CITY-FTTH
320,recurring,blocked,person,2019-06-05,2022-11-11T00:49:32,26000,1,2019-05-09,2021-03-30,hidden,FTTH 15,26000,PYAY-CITY-FTTH
323,recurring,active,person,2019-06-06,2022-11-11T00:46:37,26000,1,2019-05-10,,hidden,FTTH 15,26000,APN - San Chaung Garden
324,recurring,active,person,2019-06-06,2022-11-11T00:46:37,42000,1,2019-05-10,2020-04-26,hidden,FTTH 15,26000,APN - San Chaung Garden
326,recurring,active,person,2019-06-07,2022-11-09T16:01:08,36000,1,2021-09-01,,active,FTTH 60,75000,APN - San Chaung Garden
339,recurring,blocked,person,2019-06-13,2022-11-11T00:49:37,26000,1,2019-05-15,2019-06-14,hidden,FTTH 15,26000,PYAY-CITY-FTTH
343,recurring,active,person,2019-06-14,2022-11-11T00:44:33,50000,1,2019-05-11,2020-03-31,hidden,FTTH 15,26000,APN - Thilawa SEZ
349,recurring,active,person,2019-06-15,2022-11-05T04:22:18,26000,1,2019-05-20,2020-01-05,hidden,FTTH 15,26000,PYAY-CITY-FTTH
351,recurring,blocked,person,2019-06-17,2021-09-01T09:43:22,0,1,2019-05-20,,hidden,FTTH 15,26000,PYAY-CITY-FTTH
353,recurring,active,person,2019-06-18,2022-11-10T22:56:10,20800,1,2019-05-21,2019-05-21,hidden,FTTH 25,42000,PYAY-CITY-FTTH
362,recurring,active,person,2019-06-20,2022-11-11T00:46:36,35000,1,2019-05-22,2020-02-19,hidden,FTTH 15,26000,APN - San Chaung Garden
363,recurring,active,person,2019-06-20,2022-11-11T00:46:37,22285.7142,1,2019-05-22,2020-08-31,hidden,FTTH 15,26000,APN - San Chaung Garden
367,recurring,disabled,company,2019-06-24,2019-11-13T09:42:27,0,1,2019-05-25,2020-06-21,hidden,FTTH 25,42000,APN - Thilawa SEZ
368,recurring,disabled,person,2019-06-24,2020-04-03T10:56:13,0,1,2019-05-25,2020-09-21,hidden,FTTH 15,26000,PYAY-CITY-FTTH
370,recurring,active,person,2019-06-24,2022-11-11T00:49:47,22285.7142,1,2019-05-31,2019-11-05,hidden,FTTH 15,26000,PYAY-CITY-FTTH
374,recurring,active,person,2019-06-25,2022-11-11T00:49:40,26000,1,2019-05-27,2020-03-31,hidden,FTTH 15,26000,PYAY-CITY-FTTH
377,recurring,active,person,2019-06-25,2022-11-11T00:46:37,35000,1,2019-05-27,2020-06-21,hidden,FTTH 15,26000,APN - San Chaung Garden
378,recurring,disabled,person,2019-06-26,2021-05-05T13:48:15,0,1,2019-05-27,2020-05-20,hidden,FTTH 15,26000,PYAY-CITY-FTTH
380,recurring,active,person,2019-06-26,2022-11-10T22:59:54,26000,1,2019-05-27,2020-04-26,hidden,FTTH 15,26000,APN - San Chaung Garden
382,recurring,active,person,2019-06-26,2022-11-11T00:49:35,22285.7142,1,2019-05-27,2019-05-27,hidden,FTTH 15,26000,PYAY-CITY-FTTH
385,recurring,blocked,person,2019-06-27,2022-07-30T19:57:57,0,1,2021-07-01,2021-11-30,disabled,FTTH 15,26000,PYAY-CITY-FTTH
386,recurring,disabled,person,2019-06-28,2020-07-01T10:58:19,0,1,2021-08-01,,active,FTTH 15,26000,PYAY-CITY-FTTH
391,recurring,disabled,person,2019-07-02,2020-04-24T15:45:21,0,1,2019-05-30,,hidden,FTTH 15,26000,APN - San Chaung Garden
396,recurring,disabled,person,2019-07-03,2020-07-22T09:46:27,0,1,2021-08-01,2022-10-31,disabled,FTTH 15,26000,PYAY-CITY-FTTH
397,recurring,disabled,person,2019-07-04,2020-01-03T09:30:53,0,1,2021-07-01,,active,FTTH 15,26000,PYAY-CITY-FTTH
398,recurring,active,person,2019-07-04,2022-11-11T00:46:37,42000,1,2019-05-31,2019-06-14,hidden,FTTH 15,26000,APN - San Chaung Garden
404,recurring,active,person,2019-07-09,2022-11-11T00:49:38,26000,1,2019-06-03,2019-09-02,hidden,FTTH 25,42000,PYAY-CITY-FTTH
409,recurring,active,person,2019-07-09,2022-11-11T00:49:40,26000,1,2019-06-04,2020-05-01,hidden,FTTH 25,42000,PYAY-CITY-FTTH
413,recurring,blocked,person,2019-07-11,2022-11-11T00:49:39,26000,1,2021-07-01,,active,FTTH 25,42000,PYAY-CITY-FTTH
416,recurring,disabled,person,2019-07-11,2020-03-26T15:21:02,0,1,2019-06-06,2020-01-07,hidden,FTTH 15,26000,APN - Pearl 
421,recurring,disabled,person,2019-07-13,2022-06-28T04:11:16,0,1,2021-07-01,2021-11-30,disabled,FTTH 15,26000,PYAY-CITY-FTTH
422,recurring,disabled,person,2019-07-15,2019-09-03T16:09:47,0,1,2021-07-01,,hidden,FTTH 15,26000,PYAY-CITY-FTTH
426,recurring,blocked,person,2019-07-20,2022-11-11T00:49:57,26000,1,2021-07-01,2021-12-31,disabled,FTTH 15,26000,PYAY-CITY-FTTH
428,recurring,active,person,2019-07-22,2022-11-11T00:49:42,26000,1,2019-06-10,2020-09-15,hidden,FTTH 15,26000,PYAY-CITY-FTTH
430,recurring,blocked,person,2019-07-23,2021-07-01T20:38:01,0,1,2019-06-12,,hidden,FTTH 15,26000,APN - Bayint Naung
431,recurring,active,person,2019-07-23,2022-11-11T00:45:57,31500,1,2019-06-12,2019-11-05,hidden,FTTH 25,42000,APN - Yankin
434,recurring,disabled,person,2019-07-23,2019-12-12T09:58:52,0,1,2020-12-01,2022-07-03,hidden,DIA 40,0,PYAY-CITY-FTTH
435,recurring,active,person,2019-07-24,2022-11-11T00:46:37,35000,1,2021-09-01,,active,FTTH 25,42000,APN - San Chaung Garden
440,recurring,active,person,2019-07-26,2022-11-11T00:46:37,19500,1,2021-07-01,,active,Business 15,40000,APN - San Chaung Garden
441,recurring,disabled,person,2019-07-26,2019-10-01T15:54:22,0,1,2019-06-14,2020-05-20,hidden,FTTH 60,75000,PYAY-CITY-FTTH
446,recurring,active,person,2019-07-29,2022-11-11T00:45:56,19500,1,2021-08-01,2021-12-31,disabled,FTTH 15,26000,APN - Pearl 
449,recurring,disabled,person,2019-07-30,2022-06-28T10:15:44,0,1,2021-07-01,,active,FTTH 15,26000,PYAY-CITY-FTTH
452,recurring,disabled,person,2019-07-31,2022-08-11T22:14:57,0,1,2019-06-18,2019-11-05,hidden,FTTH 25,42000,PYAY-CITY-FTTH
454,recurring,disabled,person,2019-07-31,2019-10-03T15:10:22,0,1,2019-06-18,2020-04-02,hidden,FTTH 15,26000,PYAY-CITY-FTTH
455,recurring,disabled,person,2019-08-01,2020-11-30T15:27:47,0,1,2021-08-01,2021-12-31,disabled,FTTH 15,26000,APN - Maharswe
460,recurring,disabled,person,2019-08-02,2021-09-01T10:13:12,0,1,2021-09-01,,active,FTTH 25,42000,PYAY-CITY-FTTH
461,recurring,active,person,2019-08-02,2022-11-11T00:45:12,26000,1,2019-06-20,,hidden,DIA 50,0,APN - Maharswe
464,recurring,active,person,2019-08-02,2022-11-11T00:49:41,26000,1,2019-06-21,2020-11-02,hidden,FTTH 15,26000,PYAY-CITY-FTTH
469,recurring,disabled,person,2019-08-05,2022-08-25T11:46:41,0,1,2021-07-01,2021-11-30,disabled,FTTH 15,26000,PYAY-CITY-FTTH
473,recurring,active,person,2019-08-06,2022-11-11T00:49:57,26000,1,2019-06-24,,hidden,FTTH 15,26000,PYAY-CITY-FTTH
474,recurring,active,person,2019-08-06,2022-10-28T07:54:26,26000,1,2021-07-01,2022-08-14,disabled,FTTH 15,26000,APN - San Chaung Garden
475,recurring,disabled,person,2019-08-06,2021-07-14T10:56:58,0,1,2021-08-01,2022-01-31,hidden,FTTH 15,26000,APN - San Chaung Garden
476,recurring,disabled,person,2019-08-06,2022-05-03T14:59:41,0,1,2021-07-01,,active,FTTH 15,26000,APN - Maharswe
482,recurring,disabled,person,2019-08-07,2020-02-01T14:22:49,0,1,2019-06-26,2021-05-04,hidden,FTTH 15,26000,APN - Time Square
483,recurring,disabled,company,2019-08-07,2020-01-30T14:06:15,0,1,2019-06-26,2020-05-01,hidden,FTTH 15,26000,APN - Time Square
487,recurring,active,person,2019-08-08,2022-11-10T20:02:26,26000,1,2019-06-27,2020-02-16,hidden,FTTH 15,26000,PYAY-CITY-FTTH
488,recurring,active,person,2019-08-09,2022-11-11T00:46:37,35000,1,2019-06-27,2019-11-05,hidden,FTTH 15,26000,APN - San Chaung Garden
491,recurring,active,person,2019-08-09,2022-11-11T00:49:40,19500,1,2019-06-28,2020-05-20,hidden,FTTH 15,26000,PYAY-CITY-FTTH
508,recurring,disabled,person,2019-08-13,2022-08-25T18:34:08,0,1,2019-07-01,2022-03-16,disabled,DIA 100,0,MIH - Time Square
513,recurring,disabled,person,2019-08-14,2020-04-05T09:25:28,0,1,2019-07-02,,hidden,FTTH 15,26000,PYAY-CITY-FTTH
517,recurring,active,person,2019-08-14,2022-11-11T00:43:22,0,1,2019-07-03,2019-08-14,hidden,FTTH 15,26000,MIH - Time Square
518,recurring,active,person,2019-08-14,2022-11-11T00:49:42,26000,1,2019-07-03,2020-04-26,hidden,FTTH 15,26000,PYAY-CITY-FTTH
519,recurring,disabled,person,2019-08-15,2020-03-04T14:55:57,0,1,2019-07-04,2020-01-02,hidden,FTTH 15,26000,APN - Thilawa SEZ
546,recurring,active,person,2019-08-21,2022-11-11T00:49:42,26000,1,2019-07-12,,hidden,FTTH 15,26000,PYAY-CITY-FTTH
548,recurring,disabled,person,2019-08-23,2019-12-02T13:13:52,0,1,2021-07-01,2022-06-30,hidden,FTTH 15,26000,APN - Maharswe
549,recurring,active,person,2019-08-23,2022-11-11T00:46:36,42000,1,2019-07-15,2019-09-11,hidden,FTTH 15,26000,APN - San Chaung Garden
553,recurring,active,person,2019-08-24,2022-11-11T00:49:42,26000,1,2019-07-18,2020-08-20,hidden,FTTH 15,26000,PYAY-CITY-FTTH
556,recurring,active,person,2019-08-26,2022-11-11T00:49:57,26000,1,2021-07-01,2022-11-15,active,FTTH 15,26000,PYAY-CITY-FTTH
557,recurring,active,person,2019-08-26,2022-11-11T00:49:57,26000,1,2019-07-22,2019-11-07,hidden,FTTH 15,26000,PYAY-CITY-FTTH
564,recurring,disabled,person,2019-08-26,2020-02-06T14:02:51,0,1,2019-07-23,2020-01-05,hidden,FTTH 15,26000,PYAY-CITY-FTTH
566,recurring,active,person,2019-08-27,2022-11-11T00:49:40,19500,1,2021-08-01,2022-02-28,disabled,FTTH 15,26000,PYAY-CITY-FTTH
568,recurring,active,person,2019-08-27,2022-11-11T00:49:38,26000,1,2019-07-24,2020-01-31,hidden,FTTH 15,26000,PYAY-CITY-FTTH
571,recurring,disabled,person,2019-08-27,2020-08-31T10:07:30,0,1,2019-07-26,2019-11-05,hidden,FTTH 25,42000,APN - Pearl 
572,recurring,disabled,person,2019-08-27,2021-02-18T13:06:03,0,1,2019-07-26,,hidden,FTTH 15,26000,APN - Time Square
575,recurring,active,person,2019-08-29,2022-11-11T00:49:35,26000,1,2019-07-27,2020-02-16,hidden,FTTH 25,42000,PYAY-CITY-FTTH
577,recurring,active,person,2019-08-29,2022-11-10T16:01:47,26000,1,2021-08-01,,active,FTTH 15,26000,PYAY-CITY-FTTH
579,recurring,blocked,person,2019-08-29,2022-06-19T19:10:47,0,1,2021-08-01,2021-12-31,disabled,FTTH 15,26000,PYAY-CITY-FTTH
580,recurring,disabled,person,2019-08-29,2019-12-17T16:16:21,0,1,2019-07-27,,hidden,FTTH 15,26000,PYAY-CITY-FTTH
581,recurring,disabled,person,2019-08-29,2021-06-28T01:50:45,0,1,2019-07-27,,hidden,FTTH 15,26000,PYAY-CITY-FTTH
584,recurring,blocked,person,2019-08-30,2022-09-01T11:40:51,0,1,2019-07-29,2020-05-20,hidden,FTTH 15,26000,PYAY-CITY-FTTH
589,recurring,blocked,person,2019-09-02,2022-11-11T00:49:40,26000,1,2019-07-31,2019-11-05,hidden,FTTH 15,26000,PYAY-CITY-FTTH
590,recurring,active,person,2019-09-02,2022-11-11T00:49:26,26000,1,2019-07-31,2019-11-05,hidden,FTTH 15,26000,PYAY-CITY-FTTH
591,recurring,disabled,person,2019-09-02,2019-10-23T12:19:38,0,1,2021-07-01,,stopped,FTTH 15,26000,PYAY-CITY-FTTH
592,recurring,active,person,2019-09-02,2022-11-11T00:46:37,35000,1,2019-07-31,2020-01-01,hidden,FTTH 15,26000,APN - San Chaung Garden
595,recurring,disabled,person,2019-09-02,2019-12-29T10:15:01,0,1,2019-07-31,2019-11-05,hidden,FTTH 15,26000,PYAY-CITY-FTTH
597,recurring,disabled,person,2019-09-02,2020-12-22T01:11:42,0,1,2021-07-01,,active,FTTH 15,26000,PYAY-CITY-FTTH
599,recurring,active,person,2019-09-03,2022-11-10T20:02:24,26000,1,2019-08-01,2021-02-02,hidden,FTTH 15,26000,PYAY-CITY-FTTH
600,recurring,disabled,person,2019-09-03,2020-05-02T15:03:32,0,1,2019-08-01,2019-11-05,hidden,FTTH 15,26000,PYAY-CITY-FTTH
601,recurring,active,person,2019-09-03,2022-11-11T00:49:52,26000,1,2021-07-01,2021-08-31,hidden,FTTH 15,26000,PYAY-CITY-FTTH
604,recurring,active,person,2019-09-03,2022-11-11T00:49:42,26000,1,2019-08-02,2021-02-01,hidden,FTTH 15,26000,PYAY-CITY-FTTH
606,recurring,active,person,2019-09-04,2022-11-11T00:49:33,22285.7142,1,2019-08-03,2020-12-21,hidden,FTTH 15,26000,PYAY-CITY-FTTH
608,recurring,disabled,person,2019-09-05,2020-07-28T10:24:02,0,1,2021-07-01,2022-06-03,hidden,FTTH 15,26000,APN-GOLDEN-CITY-DIA
609,recurring,disabled,person,2019-09-05,2020-11-20T07:57:07,0,1,2021-07-01,,hidden,FTTH 15,26000,PYAY-CITY-FTTH
610,recurring,disabled,person,2019-09-05,2022-10-11T21:32:36,0,1,2021-07-01,2022-08-31,hidden,FTTH 15,26000,PYAY-CITY-FTTH
620,recurring,blocked,person,2019-09-06,2022-11-09T09:07:18,26000,1,2019-08-06,2020-10-31,hidden,FTTH 15,26000,PYAY-CITY-FTTH
636,recurring,active,person,2019-09-10,2022-11-11T00:43:29,26000,1,2019-08-09,2019-12-01,hidden,FTTH 15,26000,MIH - Time Square
638,recurring,active,person,2019-09-11,2022-11-11T00:43:26,26000,1,2019-08-09,2020-05-20,hidden,FTTH 15,26000,MIH - Time Square
645,recurring,disabled,person,2019-09-14,2021-12-09T11:31:31,0,1,2021-07-01,2021-11-30,disabled,FTTH 15,26000,PYAY-CITY-FTTH
649,recurring,blocked,person,2019-09-16,2022-11-11T00:49:40,26000,1,2019-08-13,2020-05-20,hidden,FTTH 15,26000,PYAY-CITY-FTTH
654,recurring,disabled,person,2019-09-17,2021-05-09T16:35:06,0,1,2019-08-14,2021-03-30,hidden,FTTH 25,42000,PYAY-CITY-FTTH
657,recurring,active,person,2019-09-18,2022-11-11T00:46:37,26000,1,2019-08-14,2020-05-20,hidden,FTTH 15,26000,APN - San Chaung Garden
664,recurring,active,person,2019-09-18,2022-11-11T00:46:37,45000,1,2021-07-01,2021-07-31,hidden,FTTH 15,26000,APN - San Chaung Garden
669,recurring,blocked,person,2019-09-19,2022-11-11T00:49:40,26000,1,2021-07-01,2022-07-31,hidden,FTTH 15,26000,PYAY-CITY-FTTH
678,recurring,disabled,person,2019-09-20,2022-01-03T17:39:10,0,1,2019-08-17,2020-05-20,hidden,FTTH 15,26000,PYAY-CITY-FTTH
